SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILITY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE
2022/2023,8297024,'Na Aksa Gyilak'yoo,82,Coast Mountains                         ,Independent School,3529 West Kalum Rd,Terrace                       ,STANDARD,ELEMENTARY SECONDARY,NO,NO,NO,NO,54.5241082,-128.66834
2022/2023,2727012,100 Mile House Elementary,27,Cariboo-Chilcotin                       ,Public School,PO Box 460,100 Mile House                ,STANDARD,ELEMENTARY,YES,YES,NO,NO,51.6471737,-121.29335
2022/2023,2727027,150 Mile Elementary,27,Cariboo-Chilcotin                       ,Public School,PO Box 259,150 Mile House                ,STANDARD,ELEMENTARY,YES,NO,NO,NO,52.1073149,-121.92669
2022/2023,6499172,64GO,64,Gulf Islands                            ,Public School,112 Rainbow Rd,Salt Spring Island            ,DISTRICT DISTANCE ED,SECONDARY,NO,NO,NO,NO,48.8544169,-123.50115
2022/2023,7399103,@ KOOL,73,Kamloops-Thompson                       ,Public School,1770 Springview Pl,Kamloops                      ,DISTRICT DISTANCE ED,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.6570074,-120.36002
2022/2023,3333033,A D Rundle Middle School,33,Chilliwack                              ,Public School,45660 Hocking Ave,Chilliwack                    ,STANDARD,MIDDLE SCHOOL,YES,NO,NO,NO,49.1589494,-121.96201
2022/2023,7324039,A E Perry Elementary,73,Kamloops-Thompson                       ,Public School,1380 Sherbrooke Ave,Kamloops                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,50.7049152,-120.37693
2022/2023,3636051,A H P Matthew Elementary,36,Surrey                                  ,Public School,13367 97 Ave,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1795503,-122.85333
2022/2023,8585001,A J Elliott Elementary,85,Vancouver Island North                  ,Public School,PO Box 149,Sointula                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,50.6264545,-127.01224
2022/2023,3636178,A J McLellan Elementary,36,Surrey                                  ,Public School,16545 61 Ave,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1141706,-122.76354
2022/2023,8389002,A L Fortune Secondary,83,North Okanagan-Shuswap                  ,Public School,500 Bass Ave,Enderby                       ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.5585772,-119.13604
2022/2023,2323031,A S Matheson Elementary,23,Central Okanagan                        ,Public School,2090 Gordon Dr,Kelowna                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.8760059,-119.47791
2022/2023,3838064,A.R. MacNeill Secondary,38,Richmond                                ,Public School,6611 No. 4 Rd,Richmond                      ,STANDARD,SECONDARY,YES,NO,NO,NO,49.1644493,-123.11592
2022/2023,8797074,Aatse Davie School,87,Stikine                                 ,Independent School,PO Box 79,Fort Ware                     ,STANDARD,ELEMENTARY SECONDARY,NO,NO,NO,NO,57.4236089,-125.62915
2022/2023,3496069,Abbotsford Christian School,34,Abbotsford                              ,Independent School,35011 Old Clayburn Rd,Abbotsford                    ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.0633509,-122.25405
2022/2023,3434025,Abbotsford Middle School,34,Abbotsford                              ,Public School,33231 Bevan Ave,Abbotsford                    ,STANDARD,MIDDLE SCHOOL,YES,NO,NO,NO,49.0424124,-122.30328
2022/2023,3434022,Abbotsford Senior Secondary School,34,Abbotsford                              ,Public School,33355 Bevan  Ave,Abbotsford                    ,STANDARD,SECONDARY,YES,NO,NO,NO,49.0435946,-122.30015
2022/2023,3434020,Abbotsford Traditional Middle School,34,Abbotsford                              ,Public School,2272 Windsor St,Abbotsford                    ,STANDARD,MIDDLE SCHOOL,YES,NO,NO,NO,49.0435623,-122.35407
