SCHOOL_EDUCATION_LEVEL,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILITY_TYPE,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE
ELEMENTARY,2022/2023,3939032,Admiral Seymour Elementary,39,Vancouver                               ,Public School,1130 Keefer St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2786789,-123.08028
SECONDARY,2022/2023,3996870,Alexander Academy,39,Vancouver                               ,Independent School,100-602 Hastings St W,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2848,-123.1133
ELEMENTARY,2022/2023,3996693,Anchor Point Montessori,39,Vancouver                               ,Independent School,PO Box 32138,Richmond                      ,STANDARD,YES,NO,NO,NO,49.2770233,-123.13068
ELEMENTARY,2022/2023,3939067,Bayview Community Elementary,39,Vancouver                               ,Public School,2251 Collingwood St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.266432,-123.18182
ELEMENTARY,2022/2023,3996070,Blessed Sacrament School,39,Vancouver                               ,Independent School,3020 Heather St,Vancouver                     ,STANDARD,NO,YES,NO,NO,49.25834,-123.11939
ELEMENTARY,2022/2023,3939130,Britannia Community Elementary,39,Vancouver                               ,Public School,1110 Cotton Dr,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2746196,-123.07101
SECONDARY,2022/2023,3939004,Britannia Community Secondary,39,Vancouver                               ,Public School,1001 Cotton Dr,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2752895,-123.07118
SECONDARY,2022/2023,3996925,Canada Royal Arts High School,39,Vancouver                               ,Independent School,896 8th Ave W,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.264122,-123.12377
ELEMENTARY,2022/2023,3939088,Captain James Cook Elementary,39,Vancouver                               ,Public School,3340 54th Ave E,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2193507,-123.03626
ELEMENTARY,2022/2023,3939094,Carnarvon Community Elementary,39,Vancouver                               ,Public School,3400 Balaclava St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2566428,-123.17378
SECONDARY,2022/2023,3996659,Century High School,39,Vancouver                               ,Independent School,1788 Broadway W Unit 200,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2634498,-123.14545
ELEMENTARY,2022/2023,3939137,Champlain Heights Annex,39,Vancouver                               ,Public School,7835 Champlain Cres,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2137335,-123.03091
ELEMENTARY,2022/2023,3939128,Champlain Heights Community Elementary,39,Vancouver                               ,Public School,6955 Frontenac St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2207393,-123.02746
ELEMENTARY,2022/2023,3939124,Charles Dickens Annex,39,Vancouver                               ,Public School,3877 Glen Dr,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2502036,-123.08286
ELEMENTARY,2022/2023,3939059,Charles Dickens Elementary,39,Vancouver                               ,Public School,1010 East 17th Ave,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2551112,-123.0829
ELEMENTARY,2022/2023,3939089,Chief Maquinna Elementary,39,Vancouver                               ,Public School,2684 2nd Ave E,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.268032,-123.0508
ELEMENTARY,2022/2023,3996930,Claren Academy,39,Vancouver                               ,Independent School,201-1085 Homer St,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2766737,-123.12166
ELEMENTARY,2022/2023,3939139,Collingwood Neighbourhood School,39,Vancouver                               ,Public School,3417 Euclid Ave,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2363748,-123.03228
SECONDARY,2022/2023,3996895,Columbia Academy,39,Vancouver                               ,Independent School,400-570 Dunsmuir St,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2826709,-123.11528
SECONDARY,2022/2023,3996319,Columbia College,39,Vancouver                               ,Independent School,438 Terminal Ave,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2725067,-123.09582
ELEMENTARY,2022/2023,3996113,Corpus Christi School,39,Vancouver                               ,Independent School,6344 Nanaimo St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.226537,-123.05846
ELEMENTARY SECONDARY,2022/2023,3996004,Crofton House,39,Vancouver                               ,Independent School,3200 West 41st Avenue,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2344603,-123.1772
ELEMENTARY,2022/2023,3939142,Crosstown Elementary,39,Vancouver                               ,Public School,55 Expo Blvd,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2785602,-123.1068
